Filename,X,Y,Neighbors
m001.svg,218.0,125.1,
m002.svg,176.0,138.9,
m003.svg,108.0,104.3,
m004.svg,106.0,114.7,52
m005.svg,106.0,114.7,52
m006.svg,106.0,114.7,52
m007.svg,106.0,114.7,52
m008.svg,106.0,114.7,52
m009.svg,105.0,113.0,151 | 52
m010.svg,105.0,113.0,151 | 52
m011.svg,105.0,113.0,151 | 52
m012.svg,105.0,113.0,151 | 52
m013.svg,105.0,113.0,151 | 52
m014.svg,105.0,113.0,151 | 52
m015.svg,105.0,113.0,151 | 52
m016.svg,105.0,113.0,151 | 52
m017.svg,105.0,113.0,151 | 52
m018.svg,105.0,113.0,151 | 52
m019.svg,105.0,113.0,151 | 52
m020.svg,105.0,113.0,191 | 52
m021.svg,105.0,113.0,191 | 52
m022.svg,105.0,113.0,191 | 52
m023.svg,105.0,113.0,191 | 52
m024.svg,105.0,113.0,191 | 52
m025.svg,105.0,113.0,191 | 52
m026.svg,105.0,113.0,191 | 52
m027.svg,105.0,113.0,191 | 52
m028.svg,105.0,113.0,191 | 52
m029.svg,105.0,113.0,191 | 52
m030.svg,105.0,113.0,191 | 52
m031.svg,105.0,113.0,191 | 52
m032.svg,105.0,113.0,191 | 52
m033.svg,105.0,113.0,191 | 52
m034.svg,105.0,113.0,191 | 52
m035.svg,105.0,113.0,191 | 52
m036.svg,105.0,113.0,191 | 52
m037.svg,105.0,113.0,191 | 52
m038.svg,105.0,113.0,191 | 52
m039.svg,105.0,113.0,191 | 52
m040.svg,105.0,113.0,191 | 52
m041.svg,48.0,17.7,195 | 169
m042.svg,46.0,17.7,104 | 195 | 169
m043.svg,45.0,16.0,160 | 195
m044.svg,45.0,16.0,160 | 195
m045.svg,45.0,16.0,160 | 195
m046.svg,45.0,16.0,169 | 195 | 84 | 138
m047.svg,40.0,14.2,94 | 209 | 169 | 84
m048.svg,41.0,16.0,99
m049.svg,42.0,14.2,160 | 209 | 99 | 18
m050.svg,42.0,10.8,5 | 96 | 186 | 18
m051.svg,44.0,10.8,186 | 96 | 5 | 104
m052.svg,37.0,12.5,169 | 5 | 161
m053.svg,40.0,10.8,219 | 195 | 61 | 31
m054.svg,41.0,9.0,128 | 186 | 84 | 161
m055.svg,47.0,12.5,5 | 61 | 15
m056.svg,45.0,12.5,18 | 61 | 82
m057.svg,53.0,2.1,149 | 224 | 85 | 196
m058.svg,57.0,9.0,82
m059.svg,198.0,260.2,85 | 36
m060.svg,205.0,248.1,224 | 68 | 199 | 102
m061.svg,197.0,248.1,82 | 199 | 8
m062.svg,210.0,52.3,178 | 193
m063.svg,212.0,52.3,107 | 224 | 38 | 2
m064.svg,215.0,47.1,134 | 186 | 60 | 24
m065.svg,221.0,43.7,82 | 153 | 37 | 2
m066.svg,212.0,55.8,
m067.svg,227.0,50.6,57 | 72 | 150 | 127 | 221 | 159
m068.svg,228.0,48.9,31 | 64 | 72 | 221
m069.svg,229.0,57.5,202 | 139 | 205 | 104
m070.svg,229.0,50.6,97 | 109 | 164 | 204 | 60 | 225
m071.svg,223.0,50.6,26 | 45 | 100
m072.svg,232.0,45.4,70 | 166 | 152 | 114
m073.svg,317.0,248.1,19 | 144 | 190 | 182
m074.svg,327.0,255.0,169 | 73 | 19 | 130 | 205 | 84
m075.svg,324.0,242.9,222 | 189 | 99
m076.svg,318.0,256.7,118 | 218 | 182 | 52 | 56
m077.svg,326.0,242.9,197 | 124
m078.svg,315.0,237.7,118 | 190 | 222
m079.svg,327.0,248.1,188 | 21
