 file_number,mc_time, temperature, number_adsorbates, coverage, mc_step, cpu_time, rewrites, sorting, diff1, diff2, diff3, diff4, diff5, diff6, enclosed_atoms 
 001,0,	60,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0 
 002,0.0064,	60,	1,	1.6e-05,	1,	0.000238,	1,	0,	0,	0,	1,	0,	0,	0,	0 
 003,0.200001,	60,	62,	0.000992,	12956,	0.110284,	13033,	0,	2155,	2150,	2176,	2095,	2149,	2170,	0 
 004,0.400005,	60,	124,	0.001984,	38464,	0.551504,	38695,	0,	6394,	6406,	6478,	6296,	6374,	6393,	0 
 005,0.600006,	60,	187,	0.002992,	62403,	1.35789,	62843,	0,	10412,	10370,	10358,	10311,	10430,	10336,	0 
 006,0.800004,	60,	249,	0.003984,	85478,	2.60917,	86153,	0,	14181,	14319,	14111,	14210,	14261,	14148,	0 
 007,1.00001,	60,	312,	0.004992,	104740,	4.47963,	105675,	0,	17360,	17523,	17287,	17376,	17452,	17431,	0 
 008,1.20001,	60,	374,	0.005984,	118405,	6.96842,	119581,	0,	19662,	19810,	19549,	19564,	19686,	19761,	0 
 009,1.40001,	60,	437,	0.006992,	135566,	10.6563,	137002,	0,	22460,	22721,	22407,	22382,	22576,	22584,	0 
 010,1.60001,	60,	499,	0.007984,	150892,	15.1643,	152586,	0,	24978,	25267,	24895,	24942,	25153,	25159,	0 
 011,1.8,	60,	562,	0.008992,	166103,	20.9133,	168067,	19,	27442,	27745,	27404,	27550,	27640,	27761,	1 
 012,2.00002,	60,	624,	0.009984,	182152,	27.9339,	184399,	132,	30123,	30342,	30043,	30326,	30271,	30424,	3 
 013,2.20003,	62.9988,	625,	0.01,	187772,	28.6669,	190142,	132,	31075,	31292,	30931,	31226,	31217,	31407,	3 
 014,2.4001,	65.9992,	625,	0.01,	189298,	29.0668,	191988,	132,	31333,	31516,	31203,	31487,	31451,	31684,	3 
 015,2.60007,	68.9991,	625,	0.01,	191360,	29.7766,	194990,	132,	31693,	31863,	31549,	31796,	31805,	32030,	3 
 016,2.80006,	71.9997,	625,	0.01,	195025,	31.2526,	201087,	132,	32348,	32488,	32138,	32366,	32465,	32596,	3 
 017,3.00003,	74.9996,	625,	0.01,	201708,	33.9024,	212394,	132,	33494,	33573,	33267,	33466,	33541,	33743,	3 
