file_number,mc_steps,mc_temperature,mc_time
1, 1, 100,2.18651e-08 
2, 2, 100,4.37302e-08 
3, 3, 100,6.55954e-08 
4, 4, 100,8.74605e-08 
5, 5, 100,1.09326e-07 
6, 6, 100,1.31191e-07 
7, 8, 100,1.74921e-07 
8, 12, 100,2.62381e-07 
9, 19, 100,4.15437e-07 
10, 29, 100,6.34089e-07 
11, 46, 100,1.0058e-06 
12, 73, 100,1.59615e-06 
13, 115, 100,2.51449e-06 
14, 183, 100,4.00132e-06 
15, 289, 100,6.31902e-06 
16, 458, 100,1.00142e-05 
17, 725, 100,1.58522e-05 
18, 1149, 100,2.5123e-05 
19, 1821, 100,3.98164e-05 
20, 2886, 100,6.31027e-05 
21, 4574, 100,0.000100011 
